DL,2136,RDU,ATL,5:30 AM,7:02 AM
DL,5755,ROC,LGA,5:45 AM,7:09 AM
DL,5465,SYR,DTW,5:55 AM,7:55 AM
AA,5930,ROC,PHL,6:00 AM,7:32 AM
DL,2255,MSP,DTW,6:00 AM,8:52 AM
DL,4729,ROC,DTW,6:05 AM,7:51 AM
AA,1219,ROC,CLT,6:20 AM,8:24 AM
DL,5814,CMH,DTW,6:30 AM,7:49 AM
UA,1719,ROC,ORD,6:30 AM,7:38 AM
UA,691,MSN,ORD,6:34 AM,7:36 AM
WN,2547,IND,DAL,6:40 AM,8:10 AM
WN,1801,MSY,STL,7:05 AM,8:50 AM
AA,553,DFW,CLT,7:09 AM,10:30 AM
AA,937,MYR,CLT,7:10 AM,8:14 AM
HA,69,LGB,HNL,7:15 AM,11:15 AM
UA,4341,CRP,IAH,7:15 AM,8:26 AM
UA,2260,ORD,EWR,7:15 AM,10:21 AM
WN,2722,ABQ,DAL,7:30 AM,10:15 AM
UA,2207,PHX,ORD,8:10 AM,12:34 PM
AA,1206,PHL,IND,8:25 AM,10:31 AM
DL,4815,ATL,XNA,8:30 AM,9:32 AM
G4,1630,LAS,FSD,8:30 AM,1:13 PM
DL,5034,LGA,TYS,8:35 AM,11:04 AM
DL,1010,DTW,DFW,8:41 AM,10:56 AM
DL,2885,DTW,MKE,8:47 AM,9:12 AM
AA,5581,CLT,HSV,9:00 AM,9:41 AM
AS,2121,GEG,SEA,9:00 AM,10:14 AM
DL,732,DTW,LAS,9:05 AM,10:53 AM
UA,2483,ORD,PDX,9:06 AM,11:42 AM
G4,438,LAS,DSM,9:07 AM,1:58 PM
UA,238,ORD,SAT,9:14 AM,12:19 PM
WN,576,DAL,SAT,9:35 AM,10:45 AM
AA,9213,ROC,JFK,10:10 AM,11:29 AM
DL,4741,DTW,ROC,10:13 AM,11:45 AM
UA,1151,IAH,EWR,10:20 AM,2:59 PM
DL,2345,DTW,BWI,10:22 AM,11:57 AM
WN,694,STL,OMA,10:30 AM,11:50 AM
UA,3815,SYR,ORD,10:35 AM,12:05 PM
DL,2682,BNA,DTW,10:37 AM,1:15 PM
WN,522,BWI,ORF,10:55 AM,11:50 AM
UA,430,DEN,ONT,11:16 AM,12:37 PM
UA,1866,DEN,PHX,11:28 AM,1:28 PM
WN,1246,DAL,SAT,11:35 AM,12:45 PM
AA,1851,ROC,CLT,11:45 AM,1:43 PM
UA,3624,DTW,EWR,12:07 PM,2:00 PM
DL,4945,ROC,DTW,12:10 PM,1:42 PM
DL,1563,BOS,MCO,12:10 PM,3:27 PM
UA,2148,EWR,SAT,12:16 PM,3:34 PM
AA,5079,ROC,DCA,12:26 PM,1:55 PM
UA,3591,SDF,EWR,12:49 PM,3:02 PM
UA,3572,ROC,EWR,1:04 PM,2:32 PM
AA,1262,CUN,PHL,1:34 PM,5:17 PM
UA,5316,ORD,MKE,2:23 PM,3:14 PM
AA,5984,LYH,CLT,2:38 PM,3:53 PM
DL,4978,DTW,ROC,2:39 PM,4:03 PM
AA,394,CLT,MSN,2:40 PM,3:53 PM
AA,534,AUA,PHL,3:01 PM,6:42 PM
AA,9218,JFK,ROC,3:10 PM,4:34 PM
UA,4304,IAH,STL,3:13 PM,5:23 PM
G4,41,LAS,PIA,3:20 PM,8:29 PM
DL,921,DFW,ATL,3:27 PM,6:34 PM
DL,5794,DTW,MSN,3:58 PM,4:30 PM
DL,1720,TPA,ATL,4:50 PM,6:30 PM
WN,1281,LAS,RNO,4:50 PM,6:10 PM
UA,3467,EWR,ROC,4:54 PM,6:18 PM
WN,513,RDU,ATL,4:55 PM,6:25 PM
AA,4579,ROC,ORD,5:04 PM,6:14 PM
AA,5221,CLT,ROC,5:12 PM,7:04 PM
AA,1620,PHX,CVG,5:17 PM,10:51 PM
UA,2002,ORD,ROC,5:55 PM,8:37 PM
AA,5407,PHL,PVD,6:30 PM,7:41 PM
AA,507,PHL,ATL,6:40 PM,8:56 PM
AA,1012,ORD,SAT,7:30 PM,10:27 PM
UA,1565,PHX,ORD,7:35 PM,11:59 PM
DL,2795,ATL,MCI,7:50 PM,9:01 PM
AA,1701,SJU,MIA,8:47 PM,10:44 PM
AA,6136,PHL,ROC,9:05 PM,10:33 PM
