DL,2714,BUF,BOS,05:00 am,06:40 am
DL,5642,ROC,BOS,05:03 am,06:40 am
DL,4852,BGR,JFK,05:20 am,07:00 am
DL,2183,DFW,DTW,05:26 am,09:00 am
UA,1149,DEN,EWR,06:00 am,11:44 am
DL,1177,TUS,ATL,06:00 am,12:20 pm
UA,281,BUF,ORD,06:17 am,07:05 am
DL,2596,TPA,ATL,06:20 am,08:00 am
DL,2115,ROC,ATL,06:25 am,08:48 am
AA,491,MIA,DCA,06:35 am,09:06 am
UA,2350,SAN,ORD,06:45 am,12:50 pm
DL,2208,MSN,DTW,07:00 am,09:20 am
AA,1268,MSN,CLT,07:10 am,10:18 am
UA,3470,EWR,ROC,07:29 am,08:51 am
UA,5587,BOI,ORD,07:29 am,12:05 pm
NK,185,CLE,LAX,07:30 am,09:35 am
DL,4994,DTW,ROC,07:30 am,08:51 am
UA,407,TPA,ORD,07:35 am,09:33 am
WN,212,DAL,STL,07:35 am,09:10 am
AS,981,GEG,SEA,08:00 am,09:15 am
DL,1103,BOS,MSP,08:05 am,10:30 am
WN,100,DAL,MCI,08:15 am,09:50 am
WN,4181,DAL,BWI,08:15 am,12:00 n
WN,833,DAL,MDW,08:20 am,10:35 am
AA,4460,DCA,MSP,08:28 am,10:45 am
AA,1506,DFW,IND,08:29 am,11:36 am
DL,838,JFK,SAN,08:35 am,12:05 pm
AA,5755,DFW,COU,08:43 am,10:21 am
UA,5512,ORD,FSD,08:45 am,10:40 am
DL,931,ATL,BUF,09:00 am,11:02 am
WN,3119,DAL,PHX,09:00 am,09:50 am
AA,1176,DFW,ICT,09:08 am,10:30 am
AA,2671,DFW,PNS,09:16 am,10:58 am
AA,5183,DCA,BUF,09:44 am,11:02 am
DL,644,BOS,CUN,09:46 am,01:35 pm
AA,1492,DFW,CMH,09:50 am,01:09 pm
DL,1527,ATL,PBI,09:50 am,11:44 am
DL,5146,DTW,ROC,10:00 am,11:16 am
OS,412,CDG,VIE,10:00 am,11:55 am
AA,1070,AUS,CLT,10:02 am,01:40 pm
AA,5048,DFW,DAY,10:15 am,01:33 pm
AA,2060,DFW,FSD,10:22 am,12:25 pm
AA,4043,DFW,LEX,10:24 am,01:35 pm
DL,2849,DTW,DCA,10:29 am,12:00 n
AA,3448,DFW,CID,10:35 am,12:41 pm
AS,352,SEA,ORD,10:35 am,04:39 pm
UA,2004,DFW,ORD,10:39 am,01:00 pm
AA,2522,DFW,BZN,10:47 am,01:02 pm
AA,2467,DFW,DSM,10:50 am,12:43 pm
AA,1120,DCA,ORD,10:55 am,12:08 pm
AA,1362,DFW,STL,10:57 am,12:40 pm
AA,5408,CLT,SAV,11:02 am,12:23 pm
UA,249,CLT,EWR,11:07 am,01:03 pm
UA,1400,PDX,ORD,11:15 am,05:10 pm
AS,324,PDX,ORD,11:30 am,05:30 pm
WN,753,FLL,MDW,11:40 am,02:00 pm
WN,2525,DAL,PHX,11:55 am,12:35 pm
WN,867,HOU,LBB,12:25 pm,02:05 pm
AA,1647,MCO,ORD,12:28 pm,02:30 pm
AA,1271,LAX,ORD,12:30 pm,06:28 pm
AA,3496,DFW,MLI,12:39 pm,02:38 pm
WN,1835,DAL,MCI,12:40 pm,02:05 pm
AA,1793,MSY,CLT,12:53 pm,03:47 pm
AA,5005,DFW,GRI,01:28 pm,03:19 pm
AA,3506,DFW,EVV,01:36 pm,03:26 pm
UA,3440,EWR,ROC,02:04 pm,03:23 pm
AA,436,TPA,CLT,02:18 pm,04:04 pm
UA,3831,ORD,ROC,02:25 pm,05:13 pm
AA,5032,CLT,CAE,02:30 pm,03:26 pm
AA,1582,ILM,CLT,02:39 pm,03:45 pm
AA,2465,JAX,DFW,02:53 pm,04:45 pm
UA,1945,MSN,DEN,03:10 pm,04:40 pm
DL,921,ATL,DFW,03:15 pm,04:44 pm
AA,3895,SGF,ORD,03:30 pm,05:09 pm
DL,2047,ATL,ROC,03:37 pm,05:42 pm
WN,3402,BWI,ROC,03:45 pm,04:55 pm
UA,576,MIA,DEN,03:49 pm,06:10 pm
UA,5231,MKE,ORD,03:55 pm,04:55 pm
UA,758,DEN,ORD,04:00 pm,07:29 pm
AA,1737,DFW,CLT,04:00 pm,07:24 pm
WN,2579,HOU,BWI,04:00 pm,09:20 pm
AA,3738,LIT,ORD,04:29 pm,06:22 pm
AA,1156,MIA,BOS,04:42 pm,07:59 pm
UA,3765,MBS,ORD,04:48 pm,05:10 pm
AA,555,CLT,ORD,04:54 pm,05:59 pm
AA,4454,SYR,ORD,04:55 pm,06:07 pm
AA,5221,CLT,ROC,05:10 pm,07:02 pm
AA,4344,RDU,DCA,05:38 pm,06:55 pm
UA,3849,GSO,ORD,05:39 pm,06:55 pm
UA,3813,CHA,ORD,05:48 pm,06:54 pm
DL,1602,DTW,ORD,06:05 pm,06:28 pm
UA,3821,CMH,ORD,06:24 pm,06:55 pm
UA,2002,ORD,ROC,06:24 pm,09:13 pm
AA,2400,DFW,TUL,06:31 pm,07:35 pm
WN,621,STL,MDW,06:45 pm,07:55 pm
UA,367,DEN,BOI,07:18 pm,09:17 pm
AA,600,CLT,ROC,08:30 pm,10:17 pm
WN,2670,MDW,ROC,08:40 pm,11:15 pm
AA,6065,BOS,ROC,08:50 pm,10:23 pm
UA,477,PDX,EWR,09:53 pm,05:59 am
BA,98,YYZ,LHR,09:55 pm,10:00 am
WN,2624,BWI,ROC,10:40 pm,11:55 pm
DL,551,SEA,DTW,11:05 pm,06:28 am
